1: goal_bias='0.4', range='13.3'
2: goal_bias='0.45815892427806715', range='14.117241430902649'
3: goal_bias='0.16909172845697729', range='3.5934391727189636'
4: goal_bias='0.15676520229547608', range='10.521618275070564'
5: goal_bias='0.48742396762924345', range='12.714352430111642'
6: goal_bias='0.15403369512090181', range='4.335663032000648'
7: goal_bias='0.3745993715650968', range='1.3970727806511485'
8: goal_bias='0.125721420657387', range='9.72849828036232'
9: goal_bias='0.6213634021790506', range='4.120960452474612'
10: goal_bias='0.8579625597902627', range='9.256116318877131'
11: goal_bias='0.19096309839148062', range='4.792258665944087'
12: goal_bias='0.12088375855075628', range='2.8857083245810893'
13: goal_bias='0.9651664193601232', range='11.007206076113846'
14: goal_bias='0.6907621032344131', range='14.644034315453114'
15: goal_bias='0.47538163470171646', range='0.9962923564646899'
16: goal_bias='0.04815913181745479', range='2.3978004001140625'
17: goal_bias='0.932914187732584', range='8.374483612243706'
18: goal_bias='0.7429643115100912', range='14.79148738567513'
19: goal_bias='0.5783765058934667', range='7.343468913992694'
20: goal_bias='0.6949059306320082', range='9.631825246501977'
21: goal_bias='0.2114066894860861', range='10.34611191518689'
22: goal_bias='0.4365295736855995', range='4.28216398787972'
23: goal_bias='0.27000885623406057', range='7.345885826392483'
24: goal_bias='0.4602330559953066', range='4.316573024323871'
25: goal_bias='0.895621489643754', range='12.914836723810053'
26: goal_bias='0.44231879236697136', range='4.3476316988593515'
27: goal_bias='0.14921885941948498', range='4.496532666600334'
28: goal_bias='0.5487100635655008', range='4.332520697520445'
29: goal_bias='0.6379354358899506', range='5.769712761594761'
30: goal_bias='0.5039886066662949', range='4.334821527795293'
31: goal_bias='0.689126438062162', range='11.631810131404468'
32: goal_bias='0.43127015489461185', range='13.432603435865706'
33: goal_bias='0.450426456754085', range='7.160967625130711'
34: goal_bias='0.43409929699742156', range='14.667424159849974'
35: goal_bias='0.8752764442406683', range='3.196104164445722'
36: goal_bias='0.3288451768699403', range='14.462264520314738'
37: goal_bias='0.6980462297483888', range='4.399172096403425'
38: goal_bias='0.29724088070594545', range='4.335663032000648'
39: goal_bias='0.8821248245292712', range='2.965994035926062'
40: goal_bias='0.7056093665316936', range='13.322997366368298'
41: goal_bias='0.20484303920890534', range='14.874100514003578'
42: goal_bias='0.7238810144552807', range='14.117241430902649'
43: goal_bias='0.3727223682220927', range='6.72136484185186'
44: goal_bias='0.456030063507432', range='5.404231138264795'
45: goal_bias='0.906964578503058', range='7.615564115940489'
46: goal_bias='0.7322396751569547', range='14.667424159849974'
47: goal_bias='0.35479717355642193', range='4.719790112569434'
48: goal_bias='0.38045668629329543', range='14.181075728773234'
49: goal_bias='0.3067055854344971', range='14.511363177103922'
50: goal_bias='0.2262018019524722', range='4.303833337195697'
51: goal_bias='0.47623319031603073', range='7.70532364248787'
52: goal_bias='0.2135832637863889', range='4.335663032000648'
53: goal_bias='0.9403496736964198', range='14.976488686546743'
54: goal_bias='0.37379035260947113', range='12.895161725061474'
55: goal_bias='0.909359862331019', range='13.377303543120693'
56: goal_bias='0.6125638329640142', range='14.871982905244824'
57: goal_bias='0.669723026055493', range='1.7519535303822389'
