Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,4.10187315941,0,1.7976931348623157E308,-1,4.10187315941,0.0,1,0.0,0,4.10187315941,SAT,,7.129,
2,2,1,4.9845597744,0,6.335035942840576,-1,4.9845597744,0.0,1,0.0,1,9.08643293381,SAT,,8.04,
3,3,1,4.3487007618,0,6.335035942840576,-1,4.3487007618,0.0,1,0.0,1,13.43513369561,SAT,,6.732,
4,4,1,4.82024621964,0,6.335035942840576,-1,4.82024621964,0.0,1,0.0,2,18.25537991525,SAT,,7.987,
5,5,1,5.38980412483,0,6.335035942840576,-1,5.38980412483,0.0,1,0.0,2,23.64518404008,SAT,,7.937,
6,6,1,4.30298686028,0,6.335035942840576,-1,4.30298686028,0.0,1,0.0,3,27.94817090036,SAT,,6.844,
7,7,1,4.94213342667,0,6.335035942840576,-1,4.94213342667,0.0,1,0.0,3,32.89030432703,SAT,,7.989,
8,8,1,4.75076651573,0,6.335035942840576,-1,4.75076651573,0.0,1,0.0,4,37.64107084276,SAT,,7.689,
9,9,1,5.54730081558,0,6.335035942840576,-1,5.54730081558,0.0,1,0.0,4,43.18837165834,SAT,,8.163,
10,10,1,5.42825365067,0,6.335035942840576,-1,5.42825365067,0.0,1,0.0,5,48.616625309010004,SAT,,8.291,
11,11,1,5.84880971909,0,6.335035942840576,-1,5.84880971909,0.0,1,0.0,5,54.4654350281,SAT,,8.187,
12,12,1,4.39212656021,0,6.335035942840576,-1,4.39212656021,0.0,1,0.0,6,58.857561588310006,SAT,,7.437,
13,13,1,4.81352043152,0,6.335035942840576,-1,4.81352043152,0.0,1,0.0,6,63.67108201983,SAT,,7.986,
14,14,1,5.03520536423,0,6.335035942840576,-1,5.03520536423,0.0,1,0.0,7,68.70628738406,SAT,,8.036,
15,15,1,5.77853631973,0,6.335035942840576,-1,5.77853631973,0.0,1,0.0,7,74.48482370379,SAT,,8.186,
16,16,1,4.84558296204,0,6.335035942840576,-1,4.84558296204,0.0,1,0.0,8,79.33040666583,SAT,,7.84,
17,17,1,4.63175415993,0,6.335035942840576,-1,4.63175415993,0.0,1,0.0,8,83.96216082576,SAT,,7.307,
