Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,4.10187315941,0,1.7976931348623157E308,-1,4.10187315941,0.0,1,0.0,0,4.10187315941,SAT,,7.129,
2,2,1,4.9845597744,0,6.335035942840576,-1,4.9845597744,0.0,1,0.0,1,9.08643293381,SAT,,8.04,
3,3,1,4.3487007618,0,6.335035942840576,-1,4.3487007618,0.0,1,0.0,1,13.43513369561,SAT,,6.732,
4,4,1,4.82024621964,0,6.335035942840576,-1,4.82024621964,0.0,1,0.0,2,18.25537991525,SAT,,7.987,
5,5,1,5.38980412483,0,6.335035942840576,-1,5.38980412483,0.0,1,0.0,2,23.64518404008,SAT,,7.937,
6,6,1,4.30298686028,0,6.335035942840576,-1,4.30298686028,0.0,1,0.0,3,27.94817090036,SAT,,6.844,
7,7,1,4.94213342667,0,6.335035942840576,-1,4.94213342667,0.0,1,0.0,3,32.89030432703,SAT,,7.989,
8,8,1,4.75076651573,0,6.335035942840576,-1,4.75076651573,0.0,1,0.0,4,37.64107084276,SAT,,7.689,
9,9,1,5.54730081558,0,6.335035942840576,-1,5.54730081558,0.0,1,0.0,4,43.18837165834,SAT,,8.163,
10,10,1,5.42825365067,0,6.335035942840576,-1,5.42825365067,0.0,1,0.0,5,48.616625309010004,SAT,,8.291,
11,11,1,5.84880971909,0,6.335035942840576,-1,5.84880971909,0.0,1,0.0,5,54.4654350281,SAT,,8.187,
12,12,1,4.39212656021,0,6.335035942840576,-1,4.39212656021,0.0,1,0.0,6,58.857561588310006,SAT,,7.437,
13,13,1,4.81352043152,0,6.335035942840576,-1,4.81352043152,0.0,1,0.0,6,63.67108201983,SAT,,7.986,
14,14,1,5.03520536423,0,6.335035942840576,-1,5.03520536423,0.0,1,0.0,7,68.70628738406,SAT,,8.036,
15,15,1,5.77853631973,0,6.335035942840576,-1,5.77853631973,0.0,1,0.0,7,74.48482370379,SAT,,8.186,
16,16,1,4.84558296204,0,6.335035942840576,-1,4.84558296204,0.0,1,0.0,8,79.33040666583,SAT,,7.84,
17,17,1,4.63175415993,0,6.335035942840576,-1,4.63175415993,0.0,1,0.0,8,83.96216082576,SAT,,7.307,
18,18,1,4.96314001083,0,6.335035942840576,-1,4.96314001083,0.0,1,0.0,9,88.92530083659,SAT,,7.458,
19,19,1,4.55947566032,0,6.335035942840576,-1,4.55947566032,0.0,1,0.0,9,93.48477649691,SAT,,7.712,
20,20,1,4.8471596241,0,6.335035942840576,-1,4.8471596241,0.0,1,0.0,10,98.33193612101,SAT,,7.358,
21,21,1,5.12118244171,0,6.335035942840576,-1,5.12118244171,0.0,1,0.0,10,103.45311856272001,SAT,,7.49,
22,22,1,4.6845664978,0,6.335035942840576,-1,4.6845664978,0.0,1,0.0,11,108.13768506052001,SAT,,7.771,
23,23,1,4.88133144379,0,6.335035942840576,-1,4.88133144379,0.0,1,0.0,11,113.01901650431002,SAT,,7.181,
24,24,1,4.72965478897,0,6.335035942840576,-1,4.72965478897,0.0,1,0.0,12,117.74867129328001,SAT,,7.763,
25,25,1,4.99379897118,0,6.335035942840576,-1,4.99379897118,0.0,1,0.0,12,122.74247026446001,SAT,,8.119,
26,26,1,4.57615089417,0,6.335035942840576,-1,4.57615089417,0.0,1,0.0,13,127.31862115863001,SAT,,7.658,
27,27,1,5.03950810432,0,6.335035942840576,-1,5.03950810432,0.0,1,0.0,13,132.35812926295,SAT,,7.484,
28,28,1,5.00966215134,0,6.335035942840576,-1,5.00966215134,0.0,1,0.0,14,137.36779141429,SAT,,7.54,
29,29,1,5.59770011902,0,6.335035942840576,-1,5.59770011902,0.0,1,0.0,14,142.96549153331,SAT,,7.911,
30,30,1,5.03948450089,0,6.335035942840576,-1,5.03948450089,0.0,1,0.0,15,148.0049760342,SAT,,8.063,
31,31,1,5.36420273781,0,6.335035942840576,-1,5.36420273781,0.0,1,0.0,15,153.36917877201,SAT,,7.909,
32,32,1,4.35314559937,0,6.335035942840576,-1,4.35314559937,0.0,1,0.0,16,157.72232437138,SAT,,7.287,
33,33,1,4.87445759773,0,6.335035942840576,-1,4.87445759773,0.0,1,0.0,16,162.59678196911,SAT,,7.986,
