28: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='19', rewire_factor='300', samples_per_batch='177', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
29: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='92', rewire_factor='164', samples_per_batch='632240', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
30: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='86', rewire_factor='185', samples_per_batch='91', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
31: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='48', rewire_factor='246', samples_per_batch='41449', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
32: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='19', rewire_factor='300', samples_per_batch='177', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
33: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='86', rewire_factor='174', samples_per_batch='756264', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
34: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='77', rewire_factor='300', samples_per_batch='953844', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
35: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='13', rewire_factor='120', samples_per_batch='432613', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
36: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='9', rewire_factor='142', samples_per_batch='152', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
37: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='53', rewire_factor='230', samples_per_batch='842023', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
38: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='186', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
39: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='54', rewire_factor='157', samples_per_batch='893829', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
40: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='155', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
41: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='32', rewire_factor='282', samples_per_batch='850978', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
42: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='114', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
43: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='48', rewire_factor='279', samples_per_batch='321574', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
44: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='75', rewire_factor='153', samples_per_batch='194', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
45: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='73', rewire_factor='275', samples_per_batch='152179', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
46: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='144', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
47: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='41', rewire_factor='144', samples_per_batch='507361', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
48: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='25', rewire_factor='158', samples_per_batch='172', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='0'
49: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='59', rewire_factor='103', samples_per_batch='222334', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
50: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='75', rewire_factor='141', samples_per_batch='194', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
51: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='68', rewire_factor='295', samples_per_batch='852391', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
