Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,787.377685547,0,1.7976931348623157E308,-1,787.377685547,0.0,1,0.0,0,787.377685547,SAT,,3.671,
2,2,1,778.728515625,0,1024.5935917366028,-1,778.728515625,0.0,1,0.0,1,1566.106201172,SAT,,3.244,
3,3,1,792.297851562,0,1013.3496708381651,-1,792.297851562,0.0,1,0.0,1,2358.4040527340003,SAT,,3.771,
4,4,1,711.447998047,0,1013.3496708381651,-1,711.447998047,0.0,1,0.0,2,3069.8520507810003,SAT,,3.27,
5,5,1,775.225341797,0,925.8849979866027,-1,775.225341797,0.0,1,0.0,2,3845.0773925780004,SAT,,3.743,
