1: goal_bias='0.4', range='13.3'
2: goal_bias='0.3228630985993798', range='11.513240072841063'
3: goal_bias='0.5640659526062837', range='6.2796139104054'
4: goal_bias='0.45663851795030097', range='13.337106284787227'
5: goal_bias='0.975669488833609', range='2.7217899816999154'
6: goal_bias='0.3184270653989222', range='14.47282788392587'
7: goal_bias='0.2325991748174533', range='4.453853442667379'
8: goal_bias='0.8759023697441319', range='5.342911428111434'
9: goal_bias='0.8218303952631075', range='6.656514744565306'
10: goal_bias='0.37371860666108203', range='12.173596230699879'
