Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,0.675462007523,0,1.7976931348623157E308,-1,0.675462007523,0.0,1,0.0,0,0.675462007523,SAT,,3.771,
2,2,1,0.622268199921,0,1.880700825500488,-1,0.622268199921,0.0,1,0.0,1,1.297730207444,SAT,,3.668,
3,3,1,0.725451231003,0,1.8115498054504393,-1,0.725451231003,0.0,1,0.0,1,2.023181438447,SAT,,3.216,
4,4,1,0.78119635582,0,1.8115498054504393,-1,0.78119635582,0.0,1,0.0,2,2.8043777942670003,SAT,,3.876,
5,5,1,0.692634105682,0,1.8115498054504393,-1,0.692634105682,0.0,1,0.0,2,3.4970118999490003,SAT,,3.645,
6,6,1,0.768425703049,0,1.8115498054504393,-1,0.768425703049,0.0,1,0.0,3,4.265437602998,SAT,,3.618,
7,7,1,0.72815322876,0,1.8115498054504393,-1,0.72815322876,0.0,1,0.0,3,4.9935908317580004,SAT,,3.368,
8,8,1,0.720597267151,0,1.8115498054504393,-1,0.720597267151,0.0,1,0.0,4,5.714188098909,SAT,,3.215,
9,9,1,0.648055315018,0,1.8115498054504393,-1,0.648055315018,0.0,1,0.0,4,6.3622434139270005,SAT,,3.772,
10,10,1,0.633060693741,0,1.8115498054504393,-1,0.633060693741,0.0,1,0.0,5,6.995304107668001,SAT,,3.643,
11,11,1,0.742511034012,0,1.8115498054504393,-1,0.742511034012,0.0,1,0.0,5,7.7378151416800005,SAT,,3.792,
12,12,1,0.78001832962,0,1.8115498054504393,-1,0.78001832962,0.0,1,0.0,6,8.517833471300001,SAT,,3.726,
13,13,1,0.787198781967,0,1.8115498054504393,-1,0.787198781967,0.0,1,0.0,6,9.305032253267001,SAT,,3.667,
14,14,1,0.762422561646,0,1.8115498054504393,-1,0.762422561646,0.0,1,0.0,7,10.067454814913,SAT,,3.292,
15,15,1,0.822809457779,0,1.8115498054504393,-1,0.822809457779,0.0,1,0.0,7,10.890264272692,SAT,,3.347,
16,16,1,0.827379703522,0,1.8115498054504393,-1,0.827379703522,0.0,1,0.0,8,11.717643976214001,SAT,,3.361,
17,17,1,0.647248983383,0,1.8115498054504393,-1,0.647248983383,0.0,1,0.0,8,12.364892959597,SAT,,3.19,
18,18,1,0.671736955643,0,1.8115498054504393,-1,0.671736955643,0.0,1,0.0,9,13.03662991524,SAT,,3.768,
19,19,1,0.583068132401,0,1.8115498054504393,-1,0.583068132401,0.0,1,0.0,9,13.619698047641,SAT,,3.693,
20,20,1,0.738251686096,0,1.7605887878417967,-1,0.738251686096,0.0,1,0.0,10,14.357949733737,SAT,,3.267,
21,21,1,0.664013147354,0,1.7605887878417967,-1,0.664013147354,0.0,1,0.0,10,15.021962881091,SAT,,3.092,
22,22,1,0.757287502289,0,1.7605887878417967,-1,0.757287502289,0.0,1,0.0,11,15.779250383379999,SAT,,3.777,
23,23,1,0.810585975647,0,1.7605887878417967,-1,0.810585975647,0.0,1,0.0,11,16.589836359027,SAT,,3.345,
24,24,1,0.790375947952,0,1.7605887878417967,-1,0.790375947952,0.0,1,0.0,12,17.380212306979,SAT,,3.366,
25,25,1,0.692632436752,0,1.7605887878417967,-1,0.692632436752,0.0,1,0.0,12,18.072844743731,SAT,,3.871,
26,26,1,0.715106010437,0,1.7605887878417967,-1,0.715106010437,0.0,1,0.0,13,18.787950754168,SAT,,3.016,
27,27,1,0.794937133789,0,1.7605887878417967,-1,0.794937133789,0.0,1,0.0,13,19.582887887957,SAT,,3.994,
28,28,1,0.678088188171,0,1.7605887878417967,-1,0.678088188171,0.0,1,0.0,14,20.260976076128,SAT,,3.241,
29,29,1,0.795377254486,0,1.7605887878417967,-1,0.795377254486,0.0,1,0.0,14,21.056353330613998,SAT,,3.493,
30,30,1,0.685722589493,0,1.7605887878417967,-1,0.685722589493,0.0,1,0.0,15,21.742075920107,SAT,,3.667,
31,31,1,0.803343772888,0,1.7605887878417967,-1,0.803343772888,0.0,1,0.0,15,22.545419692994997,SAT,,3.743,
32,32,1,0.730264186859,0,1.7605887878417967,-1,0.730264186859,0.0,1,0.0,16,23.275683879853997,SAT,,3.416,
33,33,1,0.64985203743,0,1.7605887878417967,-1,0.64985203743,0.0,1,0.0,16,23.925535917283998,SAT,,3.144,
34,34,1,0.797614812851,0,1.7605887878417967,-1,0.797614812851,0.0,1,0.0,17,24.723150730134996,SAT,,3.718,
35,35,1,0.7991065979,0,1.7605887878417967,-1,0.7991065979,0.0,1,0.0,17,25.522257328034996,SAT,,3.365,
36,36,1,0.771123170853,0,1.7605887878417967,-1,0.771123170853,0.0,1,0.0,18,26.293380498887995,SAT,,3.832,
37,37,1,0.63825750351,0,1.7605887878417967,-1,0.63825750351,0.0,1,0.0,18,26.931638002397996,SAT,,3.172,
38,38,1,0.726124048233,0,1.7605887878417967,-1,0.726124048233,0.0,1,0.0,19,27.657762050630996,SAT,,3.115,
39,39,1,0.709655046463,0,1.7605887878417967,-1,0.709655046463,0.0,1,0.0,19,28.367417097093995,SAT,,3.872,
40,40,1,0.800559520721,0,1.7605887878417967,-1,0.800559520721,0.0,1,0.0,20,29.167976617814993,SAT,,3.843,
41,41,1,0.851110219955,0,1.7605887878417967,-1,0.851110219955,0.0,1,0.0,20,30.019086837769994,SAT,,3.491,
42,42,1,0.695953130722,0,1.7605887878417967,-1,0.695953130722,0.0,1,0.0,21,30.715039968491993,SAT,,3.751,
43,43,1,0.814969062805,0,1.7605887878417967,-1,0.814969062805,0.0,1,0.0,21,31.530009031296995,SAT,,3.269,
44,44,1,0.766563653946,0,1.7605887878417967,-1,0.766563653946,0.0,1,0.0,22,32.29657268524299,SAT,,3.746,
45,45,1,0.717070817947,0,1.7605887878417967,-1,0.717070817947,0.0,1,0.0,22,33.01364350318999,SAT,,3.239,
46,46,1,0.751926660538,0,1.7605887878417967,-1,0.751926660538,0.0,1,0.0,23,33.765570163727986,SAT,,3.245,
47,47,1,0.760811090469,0,1.7605887878417967,-1,0.760811090469,0.0,1,0.0,23,34.526381254196984,SAT,,3.29,
48,48,1,0.749355792999,0,1.7605887878417967,-1,0.749355792999,0.0,1,0.0,24,35.27573704719598,SAT,,3.87,
49,49,1,0.748962163925,0,1.7605887878417967,-1,0.748962163925,0.0,1,0.0,24,36.02469921112098,SAT,,3.366,
50,50,1,0.651838541031,0,1.7605887878417967,-1,0.651838541031,0.0,1,0.0,25,36.67653775215198,SAT,,3.62,
51,51,1,0.809609174728,0,1.7605887878417967,-1,0.809609174728,0.0,1,0.0,25,37.48614692687998,SAT,,3.867,
52,52,1,0.680357456207,0,1.7605887878417967,-1,0.680357456207,0.0,1,0.0,26,38.16650438308698,SAT,,3.542,
53,53,1,0.822307109833,0,1.7605887878417967,-1,0.822307109833,0.0,1,0.0,26,38.98881149291998,SAT,,3.373,
54,54,1,0.672145843506,0,1.7605887878417967,-1,0.672145843506,0.0,1,0.0,27,39.66095733642598,SAT,,3.44,
55,55,1,0.748673915863,0,1.7605887878417967,-1,0.748673915863,0.0,1,0.0,27,40.40963125228898,SAT,,3.892,
56,56,1,0.774397850037,0,1.7605887878417967,-1,0.774397850037,0.0,1,0.0,28,41.18402910232598,SAT,,3.24,
57,57,1,0.683032035828,0,1.7605887878417967,-1,0.683032035828,0.0,1,0.0,28,41.86706113815398,SAT,,3.792,
58,58,1,0.698894023895,0,1.7605887878417967,-1,0.698894023895,0.0,1,0.0,29,42.56595516204898,SAT,,3.667,
59,59,1,0.780673027039,0,1.7605887878417967,-1,0.780673027039,0.0,1,0.0,29,43.34662818908798,SAT,,3.868,
60,60,1,0.81231880188,0,1.7605887878417967,-1,0.81231880188,0.0,1,0.0,30,44.158946990967976,SAT,,3.317,
61,61,1,0.683445215225,0,1.7605887878417967,-1,0.683445215225,0.0,1,0.0,30,44.842392206192976,SAT,,3.774,
62,62,1,0.716490030289,0,1.7605887878417967,-1,0.716490030289,0.0,1,0.0,31,45.55888223648198,SAT,,3.619,
63,63,1,0.739942073822,0,1.7605887878417967,-1,0.739942073822,0.0,1,0.0,31,46.29882431030398,SAT,,3.247,
64,64,1,0.688132047653,0,1.7605887878417967,-1,0.688132047653,0.0,1,0.0,32,46.98695635795698,SAT,,3.139,
65,65,1,0.68820309639,0,1.7605887878417967,-1,0.68820309639,0.0,1,0.0,32,47.675159454346975,SAT,,3.744,
66,66,1,0.845532178879,0,1.7605887878417967,-1,0.845532178879,0.0,1,0.0,33,48.52069163322597,SAT,,3.315,
67,67,1,0.723871946335,0,1.7605887878417967,-1,0.723871946335,0.0,1,0.0,33,49.244563579560975,SAT,,3.671,
68,68,1,0.708069801331,0,1.7605887878417967,-1,0.708069801331,0.0,1,0.0,34,49.952633380891974,SAT,,3.218,
69,69,1,0.644685983658,0,1.7605887878417967,-1,0.644685983658,0.0,1,0.0,34,50.597319364549975,SAT,,3.566,
70,70,1,0.652570962906,0,1.7605887878417967,-1,0.652570962906,0.0,1,0.0,35,51.24989032745597,SAT,,3.74,
71,71,1,0.884953737259,0,1.7605887878417967,-1,0.884953737259,0.0,1,0.0,35,52.13484406471497,SAT,,3.97,
72,72,1,0.731692790985,0,1.7605887878417967,-1,0.731692790985,0.0,1,0.0,36,52.86653685569997,SAT,,3.138,
73,73,1,0.704333782196,0,1.7605887878417967,-1,0.704333782196,0.0,1,0.0,36,53.57087063789597,SAT,,3.288,
74,74,1,0.712198257446,0,1.7605887878417967,-1,0.712198257446,0.0,1,0.0,37,54.28306889534197,SAT,,3.145,
75,75,1,0.692073822021,0,1.7605887878417967,-1,0.692073822021,0.0,1,0.0,37,54.97514271736297,SAT,,3.791,
76,76,1,0.860476016998,0,1.7605887878417967,-1,0.860476016998,0.0,1,0.0,38,55.83561873436097,SAT,,3.339,
77,77,1,0.724905252457,0,1.7605887878417967,-1,0.724905252457,0.0,1,0.0,38,56.56052398681797,SAT,,3.194,
78,78,1,0.738185882568,0,1.7605887878417967,-1,0.738185882568,0.0,1,0.0,39,57.298709869385966,SAT,,3.766,
79,79,1,0.691352844238,0,1.7605887878417967,-1,0.691352844238,0.0,1,0.0,39,57.99006271362396,SAT,,3.141,
80,80,1,0.873678922653,0,1.7605887878417967,-1,0.873678922653,0.0,1,0.0,40,58.86374163627696,SAT,,3.364,
81,81,1,0.784298658371,0,1.7605887878417967,-1,0.784298658371,0.0,1,0.0,40,59.64804029464796,SAT,,3.866,
82,82,1,0.828710079193,0,1.7605887878417967,-1,0.828710079193,0.0,1,0.0,41,60.476750373840964,SAT,,3.314,
83,83,1,0.698478221893,0,1.7605887878417967,-1,0.698478221893,0.0,1,0.0,41,61.17522859573396,SAT,,3.894,
84,84,1,0.842391252518,0,1.7605887878417967,-1,0.842391252518,0.0,1,0.0,42,62.01761984825196,SAT,,3.943,
85,85,1,0.69152545929,0,1.7605887878417967,-1,0.69152545929,0.0,1,0.0,42,62.70914530754196,SAT,,3.289,
86,86,1,0.911274671555,0,1.7605887878417967,-1,0.911274671555,0.0,1,0.0,43,63.62041997909696,SAT,,3.339,
87,87,1,0.70263838768,0,1.7605887878417967,-1,0.70263838768,0.0,1,0.0,43,64.32305836677696,SAT,,3.09,
88,88,1,0.738851547241,0,1.7605887878417967,-1,0.738851547241,0.0,1,0.0,44,65.06190991401796,SAT,,3.189,
89,89,1,0.723269462585,0,1.7605887878417967,-1,0.723269462585,0.0,1,0.0,44,65.78517937660295,SAT,,3.665,
90,90,1,0.816039323807,0,1.7605887878417967,-1,0.816039323807,0.0,1,0.0,45,66.60121870040996,SAT,,3.716,
