1: range='5.0'
2: range='4.571132180043686'
3: range='0.9925186915977634'
4: range='5.490726196336765'
5: range='3.2703534470715354'
6: range='6.784277162359322'
7: range='0.279277575081056'
8: range='1.9634191210602754'
9: range='10.786119593841914'
10: range='13.43243563555473'
11: range='3.9465096435189326'
12: range='9.358736582362027'
13: range='0.5527908064900126'
14: range='10.714061767328333'
15: range='0.8898422661541896'
16: range='10.766633395402751'
17: range='3.222644699444804'
18: range='10.78348631332199'
19: range='13.144801445774814'
20: range='10.77870427211915'
21: range='1.0884587269429091'
22: range='10.783092007147665'
23: range='5.217420627556935'
24: range='5.055418753313649'
25: range='5.977694809589069'
26: range='5.0117906910638395'
27: range='4.644848637391088'
28: range='0.9559510359771859'
29: range='14.05580539557709'
30: range='0.9192981536462661'
31: range='13.357907160740114'
32: range='0.905063653344316'
33: range='10.340182453344607'
34: range='4.594790449952767'
35: range='3.1605766991007083'
36: range='4.571863934200181'
37: range='0.2379555357572763'
38: range='4.385922154630855'
39: range='4.021394862737861'
40: range='0.25241750546746783'
41: range='4.500467158549631'
42: range='4.555805644126942'
43: range='11.764639461261652'
44: range='4.561993392483275'
45: range='8.575808782350443'
46: range='0.24345303513590005'
47: range='0.5396917066562009'
48: range='0.23948196977358208'
49: range='6.277619907913091'
50: range='5.022150230596454'
51: range='13.091334626479702'
52: range='11.072462799348035'
53: range='0.10832995592240684'
54: range='5.0305611653028555'
55: range='6.698482985416886'
56: range='11.194121475399891'
57: range='13.06317747204703'
58: range='5.037955854150378'
59: range='9.109276014507435'
60: range='5.046719947215577'
61: range='14.970942142461166'
62: range='4.565118316114827'
63: range='11.670564985472339'
64: range='0.18262684574188964'
65: range='4.833297094970083'
66: range='4.5692480097209325'
67: range='14.139015838707637'
68: range='0.15035038388852467'
69: range='12.037869604882045'
70: range='4.570492698324945'
71: range='8.973330162852129'
72: range='0.14302376238288395'
73: range='11.063306234321045'
74: range='0.12214367961632383'
75: range='2.785184309882823'
76: range='4.570043952126029'
77: range='4.252666577962262'
78: range='5.043171233747491'
79: range='5.298587209842785'
80: range='0.1179021160059564'
81: range='10.01340037176737'
82: range='11.127424400055782'
83: range='9.487231656210287'
84: range='0.12016132211398274'
85: range='0.4584336220637806'
86: range='0.12066416288338289'
87: range='4.519261295460085'
88: range='0.1216977598376101'
89: range='14.685917690165802'
90: range='0.12144715424734778'
91: range='6.247246263798645'
92: range='11.098393541993453'
93: range='8.428844054972766'
94: range='4.5712077442053465'
95: range='8.597859112981848'
96: range='11.084811541155256'
97: range='10.61336612201175'
98: range='11.073802546615866'
99: range='9.118023285442465'
100: range='11.977703229457735'
101: range='6.153107137996412'
102: range='4.570348863624923'
103: range='8.388274317487461'
104: range='11.912670411949112'
105: range='10.249735551487724'
106: range='10.356025501940644'
107: range='2.573034182452766'
108: range='11.957513621326225'
109: range='12.751983121166528'
110: range='12.407635519340797'
111: range='0.6593372704113619'
112: range='12.535464559128938'
113: range='7.117920791396892'
114: range='12.619033303874435'
115: range='14.576980663600107'
116: range='11.942690324673833'
117: range='0.5235618116098959'
118: range='11.950353113042214'
119: range='0.9924796295230796'
120: range='4.570179923906677'
121: range='7.540187203079382'
122: range='11.94554155863945'
123: range='9.943717710289354'
124: range='12.560207142502255'
125: range='9.767650926591413'
126: range='12.592749438516487'
127: range='9.351654529193551'
128: range='12.580927533900587'
129: range='4.120130480810006'
130: range='0.5284594813107263'
131: range='2.663752665946224'
132: range='0.5334630192708063'
133: range='0.709411818348099'
134: range='0.5117235564043877'
135: range='5.830842993682654'
136: range='0.519992619155704'
137: range='1.366990143737139'
138: range='0.5158396712457567'
139: range='2.0283853804739187'
140: range='0.5189672771627907'
141: range='9.435815558184347'
142: range='0.5178004730040051'
143: range='10.432524074598971'
144: range='0.5169992644267194'
145: range='8.694636258397711'
146: range='12.565041201495433'
147: range='13.397899000533831'
148: range='12.562178213599339'
149: range='8.208624520513807'
150: range='11.944491078327989'
151: range='3.296160091115158'
152: range='0.5287576978771247'
153: range='11.204267451297522'
154: range='12.560829507003149'
155: range='0.24667453103495385'
156: range='8.628750186470631'
157: range='11.347246099853301'
158: range='11.94492853967708'
159: range='2.7688051909832896'
160: range='11.079777548307197'
161: range='1.5438313772012513'
162: range='1.4380122520394178'
163: range='14.152218879301197'
164: range='13.132648427927931'
165: range='4.8631546762871'
166: range='13.139701236707946'
167: range='0.3643898594866736'
168: range='13.142953686150177'
169: range='3.5032386931738353'
170: range='13.144190501359859'
171: range='7.2294715390972595'
172: range='13.14475433341392'
173: range='11.831765556152376'
174: range='13.165155584477382'
175: range='0.653967101580238'
176: range='13.151801398352735'
177: range='11.059121468677388'
178: range='13.147855449398959'
179: range='8.702348895027205'
180: range='13.14635768318285'
181: range='8.163594936734027'
182: range='11.947662160211246'
183: range='10.024988742195587'
184: range='11.948328933697905'
185: range='4.989045467726658'
186: range='11.949894609476024'
187: range='5.617837827181921'
188: range='13.14478354816019'
189: range='0.4676332504509547'
190: range='0.5166561479212657'
191: range='3.6407996984118665'
192: range='3.6154679516974393'
193: range='4.467844844665664'
194: range='11.082644931777043'
195: range='13.44455959145776'
196: range='13.145622892847966'
197: range='4.770782897323904'
198: range='13.145095800667402'
199: range='11.223504596642753'
200: range='11.94928965021225'
