"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.0, 1.7976931348623157E308, 0.0, 1, 0.0,  range='5.0'
788.236509856, 787.959960938, 3.959, 1, 0.277053258,  range='5.0'
1541.5787257709999, 770.526855469, 7.905, 1, 0.5254116250000002,  range='5.0'
3247.226792848, 798.4636230469999, 15.321, 1, 0.6042245460000001,  range='5.0'
5376.492824579999, 709.712972005, 26.478, 3, 0.7312922920000001,  range='3.6726369393994878'
6245.733378958998, 749.5701904294999, 30.141, 3, 0.8299846240000001,  range='3.6726369393994878'
7833.458730454998, 753.6571777342, 37.377, 3, 0.8809887540000002,  range='3.6726369393994878'
9433.529057628997, 754.5144856769999, 45.133, 3, 0.9942789980000001,  range='3.6726369393994878'
11014.724868554998, 758.7220982142857, 52.319, 3, 1.0379331399999998,  range='3.6726369393994878'
12610.665990186999, 766.6667175292499, 60.135, 3, 1.1200466860000002,  range='3.6726369393994878'
18486.928485875, 734.510864257875, 91.317, 8, 1.2957522670000001,  range='4.0089695484417645'
19201.137211242, 732.2523328993333, 95.031, 8, 1.3203260989999999,  range='4.0089695484417645'
22301.926740411, 739.3982177734999, 109.676, 8, 1.439196034,  range='4.0089695484417645'
30392.354457594, 729.2470925071818, 151.084, 8, 1.6602025279999997,  range='4.0089695484417645'
32159.115869942998, 749.20456949875, 158.6, 8, 1.7313215030000002,  range='4.0089695484417645'
33781.701850795995, 748.0965670072308, 166.432, 8, 1.7738349240000004,  range='4.0089695484417645'
36950.08845365301, 758.0760846819286, 181.548, 8, 1.9097520179999998,  range='4.0089695484417645'
43221.252340309016, 758.8666666666667, 211.149, 8, 2.063108479,  range='4.0089695484417645'
44753.65969054501, 757.4360046386875, 218.455, 8, 2.1325784980000004,  range='4.0089695484417645'
46369.190887038014, 753.4701430377058, 226.18, 8, 2.172337399,  range='4.0089695484417645'
