"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.0, 1.7976931348623157E308, 0.0, 1, 0.0,  range='5.0'
688.781820529, 688.512695312, 3.357, 1, 0.2696595380000001,  range='5.0'
1386.258146671, 692.8709716795, 6.9, 1, 0.5166058279999999,  range='5.0'
2958.651540195, 738.4999186196667, 15.017, 1, 0.5952782590000001,  range='5.0'
4458.898422191, 725.24975585925, 23.17, 1, 0.7504053289999999,  range='5.0'
5989.896616202001, 732.789892578, 30.675, 1, 0.8162179459999999,  range='5.0'
9138.998276257002, 758.923055013, 44.623, 1, 1.0028107709999998,  range='5.0'
12368.42275112, 770.5477469308571, 59.331, 1, 1.0877984610000002,  range='5.0'
17563.005047392002, 742.0628836495714, 84.284, 7, 1.229959363,  range='5.3581158328903555'
18430.705068938, 757.760223388625, 88.335, 7, 1.288293653,  range='5.3581158328903555'
21469.128602279, 754.7403971353333, 102.738, 7, 1.365354407,  range='5.3581158328903555'
23271.631030588, 763.1387451171, 109.782, 7, 1.4538419360000001,  range='5.3581158328903555'
24912.431786129, 766.6797540837273, 117.311, 7, 1.4928364330000001,  range='5.3581158328903555'
28055.614230637002, 771.1446329751667, 130.816, 7, 1.601029168,  range='5.3581158328903555'
29553.977401888, 763.2500563400769, 138.758, 7, 1.642477427,  range='5.3581158328903555'
31094.943007654, 757.7762102399286, 146.678, 7, 1.7181633359999997,  range='5.3581158328903555'
32858.773270474994, 766.4257324218667, 154.257, 7, 1.7593304949999997,  range='5.3581158328903555'
34683.826879477, 775.3999938965, 162.313, 7, 1.8307445029999998,  range='5.3581158328903555'
47031.90967994101, 767.5163861442941, 220.02, 7, 2.1306692419999997,  range='5.3581158328903555'
48626.262598812005, 764.8201497395555, 227.031, 7, 2.2050162679999996,  range='5.3581158328903555'
50254.188888909, 768.4450298108421, 234.755, 7, 2.243410916,  range='5.3581158328903555'
56372.48376958299, 765.66733398435, 263.533, 7, 2.4127808479999997,  range='5.3581158328903555'
71106.75214488398, 736.6958862304, 335.043, 19, 2.7633839790000003,  range='12.84023698213166'
71776.21090929699, 733.4932686941429, 338.405, 19, 2.7812465999999993,  range='12.84023698213166'
73367.76697126598, 738.5545765269545, 346.023, 19, 2.8490235200000003,  range='12.84023698213166'
74892.25008414598, 739.877950917087, 353.045, 19, 2.8829387640000004,  range='12.84023698213166'
76525.37916599399, 745.80460611975, 360.302, 19, 2.949257385,  range='12.84023698213166'
77296.51600545399, 745.80460611975, 363.781, 19, 2.983591196,  range='12.84023698213166'
