1: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='200', samples_per_batch='100', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
2: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='61', rewire_factor='149', samples_per_batch='24096', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
3: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='28', rewire_factor='273', samples_per_batch='199747', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
4: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='35', rewire_factor='124', samples_per_batch='482612', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
5: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='75', rewire_factor='184', samples_per_batch='242887', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
6: delay_rewiring_to_first_solution='0', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='36', rewire_factor='228', samples_per_batch='86654', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
7: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='29', rewire_factor='271', samples_per_batch='205807', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
8: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='82', rewire_factor='204', samples_per_batch='734377', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
9: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='1', prune_threshold_as_fractional_cost_change='17', rewire_factor='116', samples_per_batch='654280', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='1'
10: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='4', rewire_factor='206', samples_per_batch='166235', stop_on_each_solution_improvement='1', use_graph_pruning='1', use_k_nearest='0'
11: delay_rewiring_to_first_solution='1', drop_unconnected_samples_on_prune='0', prune_threshold_as_fractional_cost_change='2', rewire_factor='157', samples_per_batch='567541', stop_on_each_solution_improvement='1', use_graph_pruning='0', use_k_nearest='1'
