1: goal_bias='0.4', range='13.3'
2: goal_bias='0.8794012759957825', range='1.0173584222354755'
3: goal_bias='0.24245771046439935', range='4.352917219749489'
4: goal_bias='0.8823337357318368', range='7.430644954531919'
5: goal_bias='0.3238612559483114', range='1.5317135972916058'
6: goal_bias='0.47050391669442704', range='13.535552387537424'
7: goal_bias='0.5465538623677287', range='7.290509248549237'
8: goal_bias='0.6878209609265519', range='14.375177593785576'
9: goal_bias='0.7095755692448268', range='7.088590836692324'
10: goal_bias='0.9639198086344899', range='4.987119031725979'
