1: range='5.0'
2: range='2.4532183050780603'
3: range='12.662031133745003'
4: range='1.4459836779839097'
5: range='10.93940628809629'
6: range='10.517450291756477'
7: range='9.31319383426196'
8: range='6.545367976482479'
9: range='0.4361334242236572'
10: range='11.242809295137517'
11: range='5.845849574833831'
12: range='11.207645268586166'
13: range='7.872929096663224'
14: range='11.235514945129996'
15: range='1.6243946204921043'
16: range='11.241386714704152'
17: range='14.170846094807134'
18: range='13.433639909247129'
19: range='11.862995541087082'
20: range='13.567982457396594'
21: range='2.9093628056671426'
22: range='13.495009906766201'
23: range='3.5864708812101744'
24: range='4.745640202451958'
25: range='14.432424890305173'
26: range='4.499713977247254'
27: range='3.3245308212549403'
28: range='13.52185291066262'
29: range='14.204859080308331'
30: range='5.236069895067372'
31: range='2.575558546940893'
32: range='5.412433277819181'
33: range='5.516269498525103'
