"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.0, 1.7976931348623157E308, 0.0, 1, 0.0,  range='5.0'
1.6253240177800001, 1.22038459778, 4.756, 1, 0.40538086900000003,  range='5.0'
9.43506516823, 1.21611309052, 29.546, 6, 1.192787794,  range='3.5304839800157404'
18.36638104693, 1.19693374634, 57.622, 12, 1.5600794500000004,  range='5.422034898220857'
70.55728665513, 1.1963262558, 188.519, 29, 3.368904376,  range='3.8149946235693326'
74.64598993320999, 1.09550857544, 201.602, 32, 3.5140863890000005,  range='5.422669717247995'
78.55290279359, 1.07808279991, 215.101, 35, 3.6349035290000002,  range='13.388665402739157'
79.65259413902, 1.03289294243, 219.073, 36, 3.701203031999999,  range='5.426877702583563'
83.15381803538098, 0.953202009201, 231.914, 39, 3.8083452259999997,  range='5.14479198006863'
179.482458622774, 0.953202009201, 527.325, 39, 6.86625664,  range='5.14479198006863'
