"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " goal_bias='0.4', range='13.3'","NaN"
"2.27780397762"," 1.91198897362","4.794","1","0.36680719100000025", " goal_bias='0.4', range='13.3'","NaN"
"4.41355234608"," 1.80737280846","10.163","2","0.6945185460000002", " goal_bias='0.8794012759957825', range='1.0173584222354755'","1.91198897362"
"5.65219746338"," 1.1723177433","14.675","3","0.761331139", " goal_bias='0.24245771046439935', range='4.352917219749489'","1.91198897362"
"6.91986939556"," 1.11294984818","19.191","4","0.9157632030000001", " goal_bias='0.8823337357318368', range='7.430644954531919'","1.6305598417933334"
"15.201033363240002"," 1.11294984818","46.015","4","1.2842590880000002", " goal_bias='0.8823337357318368', range='7.430644954531919'","1.4083811442055554"
