1: goal_bias='0.4', range='13.3'
2: goal_bias='0.5442057452368432', range='7.594523478601775'
3: goal_bias='0.6664083507065423', range='0.8548617446940646'
4: goal_bias='0.926262193201613', range='6.9796141175503585'
5: goal_bias='0.6584507890188926', range='1.712210915172128'
6: goal_bias='0.13413248375300857', range='10.163355553286536'
7: goal_bias='0.019897382134758335', range='7.62917534527847'
8: goal_bias='0.6678052409858908', range='10.83583584890715'
9: goal_bias='0.6726972586373888', range='10.501620231253332'
10: goal_bias='0.9026792938566698', range='2.7153338957788202'
