1: range='5.0'
2: range='5.867054948072069'
3: range='6.667213595350826'
4: range='4.669517010005639'
5: range='12.848471082309'
6: range='6.046114514529471'
7: range='5.3581158328903555'
8: range='5.881144517098163'
9: range='14.921868210747006'
10: range='13.086659524614014'
11: range='13.502706355922276'
12: range='5.831433204919792'
13: range='14.287238467792351'
14: range='4.574634408165501'
15: range='12.737965821180977'
16: range='6.218526835561973'
17: range='12.901252080373169'
18: range='1.5927639196964052'
19: range='12.84023698213166'
20: range='7.64571077917865'
21: range='7.5248203766079715'
22: range='4.210524868468306'
23: range='7.458424792433321'
