1: range='5.0'
2: range='0.8764135461295381'
3: range='0.9370896612465519'
4: range='0.2172366453322393'
5: range='11.833646692472527'
6: range='7.015760619479595'
7: range='2.9146867244549868'
8: range='12.303112441010427'
9: range='6.322875938302298'
10: range='3.9209600992889118'
11: range='2.809759068790731'
12: range='12.087672239359655'
13: range='12.65041112101403'
14: range='12.19378962751358'
15: range='6.21459199653286'
16: range='12.278257463967483'
17: range='13.605021581999972'
18: range='2.8680887842552556'
19: range='3.3449050226758086'
20: range='12.168995822450217'
21: range='8.650246341515764'
22: range='8.144972421017039'
23: range='12.459569322359037'
24: range='7.732933944587188'
25: range='6.811381568561871'
26: range='8.039878360149658'
27: range='13.792073863921322'
28: range='8.130387789725662'
29: range='2.7590508235944005'
30: range='8.139289356117237'
31: range='11.258651829848603'
32: range='8.135781369796577'
33: range='6.942243150956218'
34: range='8.137335984212173'
35: range='8.537223697591644'
36: range='13.662014131269197'
37: range='14.16734767866995'
38: range='13.619660467935892'
39: range='11.43885780071442'
40: range='13.630609265232179'
41: range='11.077619015461945'
42: range='13.638595847371619'
43: range='6.046727898465553'
44: range='6.953202334875464'
45: range='12.854426742364707'
46: range='13.647477361419707'
47: range='12.07384208916793'
48: range='12.300366538531257'
49: range='1.4617969092324776'
50: range='12.313878718707619'
51: range='13.633418413291674'
52: range='12.306286648223415'
53: range='12.326177833236603'
54: range='12.304186337876729'
55: range='3.273308401291871'
56: range='12.30183114506328'
57: range='13.74080804657'
58: range='8.136703472688202'
59: range='10.812631644496518'
60: range='12.30233598967828'
61: range='4.000550521522785'
62: range='6.961846615497119'
63: range='9.914578426662702'
64: range='8.137200107508933'
65: range='11.939614066313398'
66: range='6.974777210622462'
67: range='9.978514754505005'
68: range='3.9775317835031467'
69: range='6.82814016384252'
70: range='3.9714381472740077'
71: range='10.394247639166556'
72: range='3.9574768208861397'
73: range='10.423534221219372'
74: range='12.303391430885398'
75: range='1.1218290272860112'
76: range='10.710291563013547'
77: range='4.770499453717768'
78: range='8.137249381568722'
79: range='4.079106248159569'
80: range='3.9454616507805893'
81: range='11.093603628261592'
82: range='3.93620287834647'
83: range='3.291303752626439'
84: range='6.064385882592829'
85: range='12.948090420707482'
86: range='6.056075227145337'
87: range='12.491900289073639'
88: range='12.303269695388057'
89: range='6.0992717118008715'
90: range='6.992947570221257'
91: range='0.9073365853329437'
92: range='6.0593606534137034'
93: range='11.678935405180146'
94: range='6.057095207294504'
95: range='11.242705072935202'
96: range='11.254405612331624'
97: range='4.405337072443375'
98: range='11.247903928543673'
99: range='1.2804944994820018'
100: range='11.245210628436164'
